database,controls,failRareOutcome,failRareOutcomeFraction,failPreExposure,failPreExposureFraction,failEndOfObservation,failEndOfObservationFraction,failTimeStability,failTimeStabilityFraction,failAll,failAllFraction
JMDC,272,28,0.10294117647058823,37,0.13602941176470587,0,0,5,0.01838235294117647,70,0.25735294117647056
Merative CCAE,486,16,0.03292181069958848,83,0.17078189300411523,0,0,5,0.0102880658436214,104,0.2139917695473251
Merative MDCD,467,28,0.059957173447537475,87,0.18629550321199143,0,0,9,0.019271948608137045,124,0.26552462526766596
Merative MDCR,438,50,0.1141552511415525,18,0.0410958904109589,1,0.00228310502283105,4,0.0091324200913242,73,0.16666666666666666
Optum Clinformatics,483,29,0.060041407867494824,103,0.21325051759834368,0,0,2,0.004140786749482402,133,0.2753623188405797
Optum EHR,489,14,0.028629856850715747,204,0.4171779141104294,47,0.09611451942740286,22,0.044989775051124746,258,0.5276073619631901
