exposureId,outcomeId,preExpLogRr,preExpLogLb95,preExpLogUb95,passPreExposure,endOfObsRatio,endOfObsP,passEndOfObservation,timeStabRatio,timeStabP,passTimeStability,outcomeProportion,passRareOutcome,passAll
742185,10225,NA,NA,NA,TRUE,NA,NA,TRUE,NA,1,TRUE,NA,TRUE,TRUE
742185,10226,NA,NA,NA,TRUE,NA,NA,TRUE,NA,1,TRUE,NA,TRUE,TRUE
742185,10227,NA,NA,NA,TRUE,NA,NA,TRUE,NA,1,TRUE,NA,TRUE,TRUE
1338005,10228,0.34010272864448643,-0.01765442556981264,0.670429630748083,TRUE,1.279321832750029,1,TRUE,1.070467081900444,1,TRUE,0.009148682871714761,TRUE,TRUE
1338005,10229,0.4068132628712454,0.047033916267634215,0.7377326906167319,TRUE,1.2789775071143021,1,TRUE,1.0707685987040112,1,TRUE,0.009159917933046479,TRUE,TRUE
1338005,10230,0.5117651561196312,0.17881204752945093,0.8197716478605592,TRUE,1.2358607517170022,1,TRUE,1.069617640901212,1,TRUE,0.009204754788238394,TRUE,TRUE
915542,10231,-0.1541156178778855,-0.3079554506167615,-0.005232584200531418,TRUE,1.583115227169757,1,TRUE,1.0710264579591988,1,TRUE,0.009142983201222166,TRUE,TRUE
915542,10232,-0.14106276667771744,-0.2943642909037638,0.006796461445139224,TRUE,1.5398261877653054,1,TRUE,1.069459383728795,1,TRUE,0.00930843480531486,TRUE,TRUE
915542,10233,-0.132013736155083,-0.2838265505076891,0.014409431696992681,TRUE,1.42149001918951,1,TRUE,1.0611730955269598,1,TRUE,0.00994022732525159,TRUE,TRUE
981709,10237,-0.14232084144499432,-0.3162008797946534,0.02457480903077498,TRUE,1.5688847079842954,1,TRUE,1.069150384366677,1,TRUE,0.009119347257780352,TRUE,TRUE
981709,10238,-0.1384726507936854,-0.3115127320284561,0.02746088205865962,TRUE,1.5740735171851103,1,TRUE,1.0696754081986093,1,TRUE,0.009257411181376978,TRUE,TRUE
981709,10239,-0.13934141580821546,-0.3118374085888904,0.025865954793864655,TRUE,1.5049048742693416,1,TRUE,1.0728554412022537,1,TRUE,0.009781153674151132,TRUE,TRUE
1363053,10240,0.17270288250345164,-0.12832705486007195,0.45190765745294453,TRUE,1.231303340523001,1,TRUE,1.074282374082349,1,TRUE,0.009153335427787712,TRUE,TRUE
1363053,10241,-0.07590723769559075,-0.4167053297435193,0.23589195442990402,TRUE,1.2169467814444006,1,TRUE,1.0744491117484047,1,TRUE,0.00916918858181406,TRUE,TRUE
1363053,10242,0.35510285867654845,0.06489278946479557,0.6244843425219665,TRUE,1.1232337038890603,1,TRUE,1.0672738838553386,1,TRUE,0.009232153174001324,TRUE,TRUE
989482,10243,0.2755906060626844,-0.012390611948305884,0.5432163597784345,TRUE,1.1471549800662055,1,TRUE,1.0705553525817828,1,TRUE,0.008517964510447965,TRUE,TRUE
989482,10244,0.26205835094886126,-0.02518880028925182,0.528965465328388,TRUE,1.2726984096912581,1,TRUE,1.0701232017888556,1,TRUE,0.008553162710904361,TRUE,TRUE
989482,10245,0.2868023330583627,0.0013478564206330285,0.5512060244293395,TRUE,1.140047346102502,1,TRUE,1.0682658278074415,1,TRUE,0.008693141681505522,TRUE,TRUE
996416,10246,0.4139874754484964,0.2715150229055402,0.5517267573860345,FALSE,1.2858789462371807,1,TRUE,1.0676868284783476,1,TRUE,0.008646956759519384,TRUE,FALSE
996416,10247,0.43515863069740435,0.29325405601534843,0.572312091614012,FALSE,1.2606977085364337,1,TRUE,1.0656451914502671,1,TRUE,0.008826406544505174,TRUE,FALSE
996416,10248,0.4618979862128702,0.3209840317249323,0.5975793745615791,FALSE,1.2413332898439406,1,TRUE,1.061288148923173,1,TRUE,0.009478895728688201,TRUE,FALSE
1550023,10249,0.31916278168977985,0.232780127806674,0.4040209894813961,FALSE,1.292687020028627,1,TRUE,1.0752211892089611,1,TRUE,0.008958349385600263,TRUE,FALSE
