exposureId,outcomeId,preExpLogRr,preExpLogLb95,preExpLogUb95,passPreExposure,endOfObsRatio,endOfObsP,passEndOfObservation,timeStabRatio,timeStabP,passTimeStability,outcomeProportion,passRareOutcome,passAll
1338005,10228,0.18500184910992035,-0.1528882771084016,0.4986383350975833,TRUE,1.1991814451617258,1,TRUE,1.0784462609889551,1,TRUE,0.010681563930550586,TRUE,TRUE
1338005,10229,0.1404908145846575,-0.19632915591263408,0.45296826957418435,TRUE,1.0680421130729834,1,TRUE,1.0801118286838005,1,TRUE,0.01069818251292334,TRUE,TRUE
1338005,10230,0.17969672414334922,-0.1544782338667897,0.48900121084505394,TRUE,1.1334650544646125,1,TRUE,1.0809229209744964,1,TRUE,0.010768841377544183,TRUE,TRUE
915542,10231,-0.27716151479015394,-0.46893507647191074,-0.09372201705137014,TRUE,1.235255135870491,1,TRUE,1.063939365809461,1,TRUE,0.010101921029893393,TRUE,TRUE
915542,10232,-0.2649030433227129,-0.455899756950382,-0.08233385586014029,TRUE,1.1992927414436585,1,TRUE,1.066110165413321,1,TRUE,0.010313116387911919,TRUE,TRUE
915542,10233,-0.2743873140245496,-0.46529677403760716,-0.09215051030517378,TRUE,1.2105660843266162,1,TRUE,1.066924582641049,1,TRUE,0.011141711314444452,TRUE,TRUE
981709,10237,-0.15824493444827922,-0.3583281887639435,0.033172213399504206,TRUE,1.2211913858730195,1,TRUE,1.0806736721118437,1,TRUE,0.010043341295552488,TRUE,TRUE
981709,10238,-0.1532308484144537,-0.3528115415921264,0.038059086226273735,TRUE,1.2191564351365534,1,TRUE,1.0774450665231892,1,TRUE,0.010199040063142787,TRUE,TRUE
981709,10239,-0.15479680223422693,-0.3533987440392461,0.03483751657777323,TRUE,1.185683403151516,1,TRUE,1.0771582478129598,1,TRUE,0.010797940768180721,TRUE,TRUE
1363053,10240,-0.030638099071227876,-0.2878713549012095,0.2109478550047349,TRUE,1.1174896341293268,1,TRUE,1.0795178619716574,1,TRUE,0.010692802396327843,TRUE,TRUE
1363053,10241,-0.050305581759489446,-0.30714060381483593,0.1903970211577973,TRUE,1.100453045781501,1,TRUE,1.0792668925480113,1,TRUE,0.010724365747021418,TRUE,TRUE
1363053,10242,-0.04417656147285213,-0.2987223127123479,0.19421122105748956,TRUE,1.054634818130029,1,TRUE,1.0787404195317523,1,TRUE,0.010842010963242924,TRUE,TRUE
989482,10243,0.045913088085662086,-0.26260935302035715,0.33174336628128775,TRUE,1.0594574666638157,1,TRUE,1.0743970945717503,1,TRUE,0.009158260982819612,TRUE,TRUE
989482,10244,0.04165317272989673,-0.269068658205188,0.32917936208295073,TRUE,1.1253860747537567,1,TRUE,1.0642922066909644,1,TRUE,0.009265245937478923,TRUE,TRUE
989482,10245,0.03246968014017281,-0.2728836777818717,0.31478590571519255,TRUE,1.065859265425385,1,TRUE,1.0630694864649457,1,TRUE,0.009711210395216377,TRUE,TRUE
996416,10246,0.07442772353780196,-0.13461064838003228,0.27381721454343383,TRUE,1.0868896601817648,1,TRUE,1.0730334252615819,1,TRUE,0.009271641777159643,TRUE,TRUE
996416,10247,0.06865050497338591,-0.13962504358016364,0.2669328860888946,TRUE,1.0761329910758572,1,TRUE,1.05704083651907,1,TRUE,0.009499566245781653,TRUE,TRUE
996416,10248,0.0897980291624536,-0.11625757741231989,0.2858710765282126,TRUE,1.103427413953768,1,TRUE,1.0688031789934829,1,TRUE,0.010357190202969066,TRUE,TRUE
1550023,10249,0.2635908177263377,0.0864015747042603,0.4341501495495803,TRUE,1.1033035055813232,1,TRUE,1.0703650017194788,1,TRUE,0.010012575105448273,TRUE,TRUE
1550023,10250,0.2658182583784985,0.08975886073326847,0.43528262585552985,TRUE,1.106855289322244,1,TRUE,1.0689140588535835,1,TRUE,0.010078494194220796,TRUE,TRUE
1550023,10251,0.25962496456398054,0.085059248470806,0.4274932910480173,TRUE,1.0570823071726634,1,TRUE,1.0716554442274566,1,TRUE,0.010328214706192386,TRUE,TRUE
1347384,10252,-0.24788326479869105,-0.5300783368779874,0.013504446922806269,TRUE,1.2141716480914189,1,TRUE,1.0790619722695314,1,TRUE,0.010702127931760036,TRUE,TRUE
1347384,10253,-0.2672090560881049,-0.548577088951635,-0.006340561360790287,TRUE,1.0256590989310257,1,TRUE,1.0785274127140914,1,TRUE,0.01074170167827357,TRUE,TRUE
1347384,10254,-0.27390034111944933,-0.556143999843774,-0.012756843226727297,TRUE,1.2296862877989863,1,TRUE,1.0812041634191594,1,TRUE,0.01088397587268779,TRUE,TRUE
1386957,10255,0.4549182741045066,0.15346433102021262,0.7367631685742799,TRUE,1.2208295513626415,1,TRUE,1.0789739360753994,1,TRUE,0.01067929232576582,TRUE,TRUE
1386957,10256,0.4490150251044754,0.14881973192300552,0.7294750441795025,TRUE,1.1924307642129448,1,TRUE,1.0789103447052362,1,TRUE,0.01069220460559501,TRUE,TRUE
1386957,10257,0.40368872414625345,0.1040088784670716,0.6831585927053352,TRUE,1.097776310825504,1,TRUE,1.080655621233401,1,TRUE,0.010749831632240098,TRUE,TRUE
989878,10258,0.21672491085309334,0.12655781068038818,0.30469252090266785,TRUE,1.0519247753945618,1,TRUE,1.0772123956324422,1,TRUE,0.011259266790575182,TRUE,TRUE
989878,10259,0.21776400928462672,0.1276937016615346,0.3056330882970202,TRUE,1.0819200009047722,1,TRUE,1.0781246028983387,1,TRUE,0.011288900681827481,TRUE,TRUE
