exposureId,outcomeId,preExpLogRr,preExpLogLb95,preExpLogUb95,passPreExposure,endOfObsRatio,endOfObsP,passEndOfObservation,timeStabRatio,timeStabP,passTimeStability,outcomeProportion,passRareOutcome,passAll
739138,10536,-0.24843599765874796,-0.46277411248004097,-0.04673563652757843,TRUE,0.9421466243212726,1,TRUE,1.0683551973792218,1,TRUE,0.03899850815336785,TRUE,TRUE
739138,10537,-0.047708871558801186,-0.22891306293544214,0.125098847293794,TRUE,0.9910562153180399,1,TRUE,1.0512378136598286,1,TRUE,0.031211001909496865,TRUE,TRUE
739138,10538,-0.05221584919417443,-0.2325367139749217,0.11980821998549525,TRUE,0.9501374033051325,1,TRUE,1.047916051008301,1,TRUE,0.031540945593539454,TRUE,TRUE
739138,10539,-0.04278454577627666,-0.22354113318231525,0.1292866193667343,TRUE,0.966848556106606,1,TRUE,1.0527122033955538,1,TRUE,0.03278220208591232,TRUE,TRUE
739138,10540,0.03396346397879012,-0.09320334863294752,0.15681482155393575,TRUE,0.8771911922146776,1,TRUE,1.1235722448544898,1,TRUE,0.08979647068847135,TRUE,TRUE
739138,10541,0.010834070043386537,-0.1183832473072706,0.13547404182495407,TRUE,0.8169134135875566,1,TRUE,1.1223456145486088,1,TRUE,0.09056912361945715,TRUE,TRUE
739138,10542,0.05926912464745165,-0.06968369421314743,0.18371295988974826,TRUE,0.8659436169616386,1,TRUE,1.1175770653544923,1,TRUE,0.09356367578981836,TRUE,TRUE
739138,10546,0.36089607527522494,-0.10645094320959855,0.7793114772490165,TRUE,0.8615699031552271,1,TRUE,1.0770910580159387,1,TRUE,0.005654984154350161,TRUE,TRUE
739138,10547,0.38708960486520083,-0.0773772857998606,0.8023055207471529,TRUE,0.8559625675517957,1,TRUE,1.0802969506963507,1,TRUE,0.005715125787897165,TRUE,TRUE
739138,10548,0.3802980719737493,-0.07955263873755385,0.7901656187374795,TRUE,0.8539349674072882,1,TRUE,1.0660080664229898,1,TRUE,0.005954857021619246,TRUE,TRUE
739138,10549,-0.13828476679353183,-0.34644831942408333,0.058302530033526735,TRUE,0.9792371237522806,1,TRUE,1.0578809443244779,1,TRUE,0.037968582678875415,TRUE,TRUE
739138,10550,-0.11978091032435101,-0.32714547523672993,0.07610778505216818,TRUE,0.8802255452151105,1,TRUE,1.0610500342179399,1,TRUE,0.03835866799646501,TRUE,TRUE
739138,10551,-0.13033490817292007,-0.3395095745008526,0.06700727927430801,TRUE,0.915693548330157,1,TRUE,1.0526795463302023,1,TRUE,0.03995576248732432,TRUE,TRUE
739138,10552,0.04871771144821706,-0.14006546200554837,0.2282187367339115,TRUE,0.9611587001471983,1,TRUE,1.1053026414754394,1,TRUE,0.04235725132687479,TRUE,TRUE
739138,10553,0.025600267565468217,-0.16384223683096827,0.20571879339403656,TRUE,0.8924909175250327,1,TRUE,1.1057019041744336,1,TRUE,0.042679677306724,TRUE,TRUE
739138,10554,0.05180870350303042,-0.134945011101994,0.22931945686054633,TRUE,1.0170250364870848,1,TRUE,1.102801986011014,1,TRUE,0.043996110841030625,TRUE,TRUE
739138,10558,0.055865317183568686,-0.10231885390751713,0.20766668494145046,TRUE,0.9269913757002037,1,TRUE,1.04970697509622,1,TRUE,0.053278804918917386,TRUE,TRUE
739138,10559,0.06760075145313801,-0.08948176364485305,0.21843070932478412,TRUE,0.9663921364034024,1,TRUE,1.0462711288169846,1,TRUE,0.05382843262549972,TRUE,TRUE
739138,10560,0.040404396239451405,-0.1178394259804597,0.19229221310589983,TRUE,0.9272680133221235,1,TRUE,1.0506953243513801,1,TRUE,0.05588243647122306,TRUE,TRUE
739138,10561,-0.16464529957030813,-0.7550572939733053,0.33994245063808237,TRUE,0.8034848639840875,1,TRUE,1.0213274762404476,1,TRUE,0.006051751875667196,TRUE,TRUE
739138,10562,-0.15033400809907738,-0.7396648211686059,0.3528531836899844,TRUE,0.8182661522414367,1,TRUE,1.044488414416619,1,TRUE,0.006122752415271297,TRUE,TRUE
739138,10563,-0.159985096957533,-0.747267482425693,0.34031827512079027,TRUE,0.8355375246857265,1,TRUE,1,1,TRUE,0.006401742770892118,TRUE,TRUE
739138,10564,-0.11474377282761279,-0.2508850563222571,0.016297126957443973,TRUE,0.8961035771743628,1,TRUE,1.0652104180550477,1,TRUE,0.14995313964386128,FALSE,FALSE
739138,10565,-0.006477122145797473,-0.1382900458640685,0.1207795642465264,TRUE,0.8935986165866248,1,TRUE,1.0631786152711475,1,TRUE,0.15113091330082343,FALSE,FALSE
739138,10566,0.013390887550129547,-0.12083486197988097,0.14293973385093464,TRUE,0.9581007289219374,1,TRUE,1.0665577777825406,1,TRUE,0.1552572976025206,FALSE,FALSE
739138,10567,-0.02985399390057589,-0.37465008819376927,0.28489602802316244,TRUE,0.7391469891583367,1,TRUE,1.0627676145242888,1,TRUE,0.012219610516098746,TRUE,TRUE
739138,10568,-0.04775861989057879,-0.3919720381253491,0.2661815264938205,TRUE,0.722480435692669,1,TRUE,1.05222222354874,1,TRUE,0.012360776294841017,TRUE,TRUE
739138,10569,-0.06772908199378588,-0.4097653736256292,0.24347996088217083,TRUE,0.7558573386214571,1,TRUE,1.0634208561360676,1,TRUE,0.012941310118662784,TRUE,TRUE
739138,10570,0.16586023881687784,-0.015182928595111592,0.338591789928762,TRUE,0.9604198925173392,1,TRUE,1.0978378036235823,1,TRUE,0.03828933805779277,TRUE,TRUE
739138,10571,0.1895922851320632,0.010326254053694809,0.36056863746913614,TRUE,0.9217037111186523,1,TRUE,1.095830175750394,1,TRUE,0.0386668938683934,TRUE,TRUE
739138,10572,0.1898429196010601,0.012163941048063974,0.35915799489336103,TRUE,0.8386429473099033,1,TRUE,1.092251286469214,1,TRUE,0.0401545639982158,TRUE,TRUE
739138,10573,0.3667846242853247,0.26294786693969147,0.46825289232624584,FALSE,0.7247989526686079,1,TRUE,1.0597057050070318,1,TRUE,0.08378815443703254,TRUE,FALSE
739138,10574,0.36882668212610936,0.26469184650283323,0.47054261959864974,FALSE,0.6406034828757533,1,TRUE,1.061488960222267,1,TRUE,0.0844939833307439,TRUE,FALSE
739138,10575,0.4083844860790502,0.3032703402161716,0.5107487899635851,FALSE,0.7384158128364631,1,TRUE,1.061803095691675,1,TRUE,0.08720035684035904,TRUE,FALSE
