trueRr,baselineRate,usageRateSlope,censorType,censorStrength,coverage,bias,meanDiagnosticEstimate,fractionFailingDiagnostic,meanExposureStabilityEstimate,fractionFailingDiagnosticAndEs,meanDiagnostic2Estimate,fractionFailingDiagnostic2
1,0.001,0,Next week,Weak,0.96,0.007367114729062576,2.345692190891988,0.25,1.002102983953549,0,1.0122002655400495,0
1,0.001,0,Next week,Strong,0.96,0.007367114729062576,2.345692190891988,0.25,1.002102983953549,0,1.0122002655400495,0
1,0.001,0,Gradual,Weak,0.97,-0.002817569345515606,1.1399375305306145,0,1.00253471764288,0,0.9709322695487407,0.01
1,0.001,0,Gradual,Strong,0.97,-0.009168117556237781,5.026310169408614,1,0.9978963700092005,0,0.983373045223752,0.02
1,0.001,0,First to last,Weak,0.96,-0.015289818654764004,1.5883559695967304,0,1.0012740696300118,0,1.0108143804434886,0
1,0.001,0,First to last,Strong,0.82,-0.10268887878933464,2.48685967791206,0.35,0.9975520652426935,0,0.5896577281620515,0.13333333333333333
1,0.001,0,None,None,0.96,0.007322425112872558,0.6734911643646829,0.01,1.002279325640883,0,0.996386922494552,NA
1,0.001,1e-5,Next week,Weak,0.9,-0.08765365639267059,2.3258057536195245,0.21,1.8399691575842378,0.21,1.0838561189285176,0
1,0.001,1e-5,Next week,Strong,0.9,-0.08765365639267059,2.3258057536195245,0.21,1.8399691575842378,0.21,1.0838561189285176,0
1,0.001,1e-5,Gradual,Weak,0.91,0.05560425510974757,1.14173011694541,0,1.7655139716442925,0,1.0081207306475086,0.01
1,0.001,1e-5,Gradual,Strong,0.18,0.31567379659241845,4.958904591508977,1,1.6469595161944441,1,1.0311658053329107,0.02
1,0.001,1e-5,First to last,Weak,0.78,-0.1269338086943687,1.5424068066223942,0,1.8138001597088362,0,1.008434760536342,0.01
1,0.001,1e-5,First to last,Strong,0.47,-0.21497822103920639,1.9708268399900224,0.05,1.703986318433086,0.05,0.768825490862184,0
1,0.001,1e-5,None,None,0.86,-0.107479974856597,0.6692501734169463,0,1.842692008388953,0,0.9809992716641116,NA
1,0.001,-1e-5,Next week,Weak,0.83,0.1718578585335257,2.2955761925208313,0.23,0.08317851699917309,0.23,0.7487864771450206,0.02
1,0.001,-1e-5,Next week,Strong,0.83,0.1718578585335257,2.2955761925208313,0.23,0.08317851699917309,0.23,0.7487864771450206,0.02
1,0.001,-1e-5,Gradual,Weak,0.92,-0.09909248005510364,1.1177037131340368,0,0.15530304346979942,0,1.05097159537255,0.02
1,0.001,-1e-5,Gradual,Strong,0.07,-0.5651757964124465,4.981145261107234,1,0.32040957679219484,1,0.8507498428235959,0
1,0.001,-1e-5,First to last,Weak,0.92,0.048861192451075695,3.7423782552349087,1,0.10381090265427344,1,0.6848975508968657,0.02
1,0.001,-1e-5,First to last,Strong,0.08,-0.53559152456598,20.88158251647465,1,0.2508152098425781,1,0.8674656181280945,NA
1,0.001,-1e-5,None,None,0.7,0.22961256498126018,0.6811967537642453,0,0.07441599588792797,0,0.9527913433977866,NA
1,1e-4,0,Next week,Weak,0.95,-0.011924200473336732,2.777267202626568,0.7,1.0005686158948617,0,1.0197385456603276,0
1,1e-4,0,Next week,Strong,0.95,-0.011924200473336732,2.777267202626568,0.7,1.0005686158948617,0,1.0197385456603276,0
1,1e-4,0,Gradual,Weak,0.94,-0.018241168199707575,1.4490417108708897,0,1.0006185525983082,0,1.0132443447183865,0
1,1e-4,0,Gradual,Strong,0.94,-0.028248371007837614,6.575213717932606,1,1.0003386697275811,0,1.0269061280152179,0.02
1,1e-4,0,First to last,Weak,0.94,-0.03312676228375457,2.3415211567280307,0.3,1.0005628135102487,0,0.9851109287648634,0.01
1,1e-4,0,First to last,Strong,0.77,-0.11859038342816808,4.948784937343862,1,0.99802895909286,0,0.6927686709798526,0.20833333333333334
1,1e-4,0,None,None,0.94,-0.011145786490878763,0.8738873637533078,0,1.001129800111052,0,0.9942778802600194,NA
1,1e-4,1e-5,Next week,Weak,0.93,-0.008816161045388515,2.7129531338300183,0.64,1.852983419659131,0.64,1.0501926949844504,0
1,1e-4,1e-5,Next week,Strong,0.93,-0.008816161045388515,2.7129531338300183,0.64,1.852983419659131,0.64,1.0501926949844504,0
1,1e-4,1e-5,Gradual,Weak,0.75,0.11448659911183263,1.4155168482837557,0,1.7978574958762445,0,0.9512506738911154,0.01
1,1e-4,1e-5,Gradual,Strong,0.08,0.34051282174193137,6.376134704138154,1,1.7107332877828596,1,0.9073497902902912,0
1,1e-4,1e-5,First to last,Weak,0.93,-0.045641941005578425,2.16379983304206,0.13,1.8292234011480255,0.13,0.9792709116503893,0
1,1e-4,1e-5,First to last,Strong,0.74,-0.12555962081479535,3.245667700542466,0.86,1.7175399099326598,0.86,0.8488526026087917,0
1,1e-4,1e-5,None,None,0.93,-0.027232445118125698,0.8510891823176374,0,1.8569961912014155,0,0.9927185395077116,NA
1,1e-4,-1e-5,Next week,Weak,0.91,0.014057800112886985,2.772800093105717,0.72,0.07049635426269522,0.72,0.8150357249743124,0
1,1e-4,-1e-5,Next week,Strong,0.91,0.014057800112886985,2.772800093105717,0.72,0.07049635426269522,0.72,0.8150357249743124,0
1,1e-4,-1e-5,Gradual,Weak,0.78,-0.23298755062364493,1.3517174417449636,0,0.12793255161375258,0,1.1598732593812127,0.01
1,1e-4,-1e-5,Gradual,Strong,0.01,-0.6842608183322381,6.36209897757074,1,0.2580478094638018,1,0.9353383090057382,0
1,1e-4,-1e-5,First to last,Weak,0.82,-0.16367244449981241,6.446004888271122,1,0.09724305445466107,1,0.6115337487095284,0.06
1,1e-4,-1e-5,First to last,Strong,0,-0.8564233249497081,173.08880489873061,1,0.2788127119540022,1,0.8266161628669001,NA
1,1e-4,-1e-5,None,None,0.89,0.06571278589532749,0.8834376894757431,0,0.06322241962384342,0,0.975940985901329,0
2,0.001,0,Next week,Weak,0,-0.6854706125630655,2.2789113816984465,0.12,1.0037170842995282,0,0.9932745888152933,0.01
2,0.001,0,Next week,Strong,0,-0.6854706125630655,2.2789113816984465,0.12,1.0037170842995282,0,0.9932745888152933,0.01
2,0.001,0,Gradual,Weak,0,-0.6913285523435042,1.093005082338358,0,1.0059810865305059,0,0.9890459526199795,0.01
2,0.001,0,Gradual,Strong,0,-0.6986444650610624,4.905784356186261,1,1.0279250573107759,0,1.0405558972294655,0.02
2,0.001,0,First to last,Weak,0,-0.707363912010361,1.4875885161990234,0,1.001823793256704,0,1.0204421901890244,0
2,0.001,0,First to last,Strong,0,-0.7972186675707839,2.3824875414446183,0.29,0.9981064049860545,0,0.6489491089012996,0
2,0.001,0,None,None,0,-0.6848041166257001,0.6197697847017841,0.01,1.0018265341650299,0,0.8348553890935814,NA
2,0.001,1e-5,Next week,Weak,0,-0.7973952906059701,2.227343236172314,0.17,1.835894290894758,0.17,1.1342081425041544,0
2,0.001,1e-5,Next week,Strong,0,-0.7973952906059701,2.227343236172314,0.17,1.835894290894758,0.17,1.1342081425041544,0
2,0.001,1e-5,Gradual,Weak,0,-0.6516260175855649,1.0900976222103604,0,1.7739001234452738,0,0.9989184796860062,0
2,0.001,1e-5,Gradual,Strong,0.04,-0.3955166433573628,4.9005355711585254,1,1.6913233477695429,1,0.9261826787095784,0.02
2,0.001,1e-5,First to last,Weak,0,-0.8353487474164187,1.4061552593067363,0,1.809004990917913,0,1.036345394756715,0
2,0.001,1e-5,First to last,Strong,0,-0.918650563796741,1.8990143339485812,0.02,1.6976889506850565,0.02,0.7706746306905087,0
2,0.001,1e-5,None,None,0,-0.8161538635806751,0.6230329629278133,0.03,1.8378740244633995,0.03,0.887378243733809,NA
2,0.001,-1e-5,Next week,Weak,0.11,-0.5032203995616872,2.361578805840036,0.24,0.08553466880198908,0.24,0.8261412515833709,0.03
2,0.001,-1e-5,Next week,Strong,0.11,-0.5032203995616872,2.361578805840036,0.24,0.08553466880198908,0.24,0.8261412515833709,0.03
2,0.001,-1e-5,Gradual,Weak,0,-0.7734861612459025,1.121583509070307,0,0.16329484202662595,0,1.0168572041826647,0
2,0.001,-1e-5,Gradual,Strong,0,-1.2567532848810892,4.867219543670985,1,0.35015692615070926,1,1.1191959535928886,0.014705882352941176
2,0.001,-1e-5,First to last,Weak,0.01,-0.6275543888941902,3.7734542130992375,0.99,0.10710441249049141,0.99,0.7295868876800776,0.04
2,0.001,-1e-5,First to last,Strong,0,-1.2062741211566137,19.68592378002516,1,0.26101747536985204,1,0.8961591046377494,0
2,0.001,-1e-5,None,None,0.2,-0.4528480819022392,0.7125344690852624,0,0.07694265489372404,0,0.6575116524488722,NA
2,1e-4,0,Next week,Weak,0,-0.6998731243578813,2.7039837187657554,0.64,1.0012530147813377,0,0.9881425068227734,0
2,1e-4,0,Next week,Strong,0,-0.6998731243578813,2.7039837187657554,0.64,1.0012530147813377,0,0.9881425068227734,0
2,1e-4,0,Gradual,Weak,0,-0.7057059794923941,1.4258886163655458,0,1.0072971400998065,0,0.9731667276154291,0
2,1e-4,0,Gradual,Strong,0,-0.7171897851225528,6.445719117405487,1,1.0275667259601993,0,1.0255129082140835,0.01
2,1e-4,0,First to last,Weak,0,-0.7196435431810916,2.233677917359006,0.18,1.0000439961038972,0,0.999354271239285,0
2,1e-4,0,First to last,Strong,0,-0.804593661224593,4.643018381439635,1,0.9985926336088865,0,0.665697375947187,0.02127659574468085
2,1e-4,0,None,None,0,-0.6984226937196454,0.8575374114905139,0,1.0011047174913361,0,0.8474894424666883,NA
2,1e-4,1e-5,Next week,Weak,0,-0.7047924016314637,2.6873453262944462,0.62,1.8537404799226647,0.62,1.1007562887176847,0.02
2,1e-4,1e-5,Next week,Strong,0,-0.7047924016314637,2.6873453262944462,0.62,1.8537404799226647,0.62,1.1007562887176847,0.02
2,1e-4,1e-5,Gradual,Weak,0,-0.5850741935399254,1.393121376975132,0,1.809327348437988,0,0.9778188123036571,0
2,1e-4,1e-5,Gradual,Strong,0.02,-0.36632480701124087,6.425225077656848,1,1.7561856855793547,1,0.9511685475218231,0.01
2,1e-4,1e-5,First to last,Weak,0,-0.7419557150577358,2.041556864590788,0.09,1.8303056557988178,0.09,1.0108533880533748,0
2,1e-4,1e-5,First to last,Strong,0,-0.8182383025429449,3.135470788674234,0.81,1.7188571068390417,0.81,0.8584246168745828,0
2,1e-4,1e-5,None,None,0,-0.7239175720049461,0.8663835401862658,0,1.8572956458103218,0,0.8649998491745728,NA
2,1e-4,-1e-5,Next week,Weak,0.01,-0.6838075808440933,2.7606766517256354,0.66,0.0734158948326912,0.66,0.8005719165872327,0.02
2,1e-4,-1e-5,Next week,Strong,0.01,-0.6838075808440933,2.7606766517256354,0.66,0.0734158948326912,0.66,0.8005719165872327,0.02
2,1e-4,-1e-5,Gradual,Weak,0,-0.9301658985522082,1.3777456850989755,0,0.13567182261262628,0,1.19786935288009,0.03
2,1e-4,-1e-5,Gradual,Strong,0,-1.3767809889331204,6.190421161781422,1,0.27766142479624384,1,1.0646187184442344,0
2,1e-4,-1e-5,First to last,Weak,0,-0.8565103916139452,6.30693379576041,1,0.10040909912517969,1,0.6663524592443627,0.04
2,1e-4,-1e-5,First to last,Strong,0,-1.5462980486246454,144.68111673547023,1,0.29206740242054474,1,0.8751347071833464,0.5
2,1e-4,-1e-5,None,None,0.01,-0.6301242623997023,0.8871153114057005,0,0.06575074234860415,0,0.7606235083908952,NA
4,0.001,0,Next week,Weak,0,-1.3884829271186154,2.1580045547417503,0.09,1.004706460927029,0,0.9724918558602025,0
4,0.001,0,Next week,Strong,0,-1.3884829271186154,2.1580045547417503,0.09,1.004706460927029,0,0.9724918558602025,0
4,0.001,0,Gradual,Weak,0,-1.3932454470304882,1.047527778831903,0,1.0209909792540979,0,1.0030989155568775,0
4,0.001,0,Gradual,Strong,0,-1.3990250468987215,4.732831173458016,1,1.0809894128490427,0,1.0892057965319373,0.01
4,0.001,0,First to last,Weak,0,-1.409811311473714,1.3964206618544237,0,1.0030921952076635,0,0.9939181211200205,0
4,0.001,0,First to last,Strong,0.01,-1.4859069499260606,2.1230404652742956,0.13,1.001320482851152,0,0.5587666988712484,0
4,0.001,0,None,None,0,-1.3871912150405874,0.597309493283894,0,1.0030185605333797,0,0.5792803360274712,NA
4,0.001,1e-5,Next week,Weak,0,-1.507032272717623,2.04124826413997,0.05,1.8329673374959443,0.05,1.0934570188910062,0.01
4,0.001,1e-5,Next week,Strong,0,-1.507032272717623,2.04124826413997,0.05,1.8329673374959443,0.05,1.0934570188910062,0.01
4,0.001,1e-5,Gradual,Weak,0,-1.3598384421209673,1.0140377534627603,0,1.7830942047478766,0,0.9934459050110247,0
4,0.001,1e-5,Gradual,Strong,0,-1.0953772240244668,4.727724663659937,1,1.7550454753389149,1,0.9553280172947284,0.01
4,0.001,1e-5,First to last,Weak,0,-1.5450478287039002,1.2341238058045627,0,1.806225424770565,0,1.0140121665925963,0
