trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
4,TRUE,1e-4,-1e-5,Permanent,Weak,0.29,0.3115057618952514,0.6219457933121622,0.9,2.5012362149030065,0.99,1.001621599894637e-7,0,0.0017319822738235601,0,0,1,1,1,0.3165482549961436
4,TRUE,1e-4,-1e-5,Permanent,Strong,0.94,0.13037369584714922,0.6371229756952722,0.63,2.6252594591017724,0.87,5.984810905108988e-7,0,0.004002108914518579,0,0,0.89,0.73,0.73,0.1650432312353127
4,TRUE,1e-4,-1e-5,Permanent when exposed,Weak,0,4.007517061154763,0.04562861102698625,1,0.26519653317999686,0.94,1.1800207634030344e-7,0,0.002215628157745151,0,0,0.88,0.79,0.81,3.967228284349126
4,TRUE,1e-4,-1e-5,Permanent when exposed,Strong,0,2.6904280090613684,0.05010187791539712,1,0.7793681953044911,0.79,1.1394120241087008e-7,0,0.0029444416370005256,0,0,0,0,0.91,2.685785930822473
4,TRUE,1e-4,-1e-5,Reverse causality,Weak,0,0.4945616257979533,1.1047714574821172,0.02,3.047033855200516,1,0.3655288981915301,0,2.049782377776177,0.98,0.85,0,0,0.85,0.49697456966463943
4,TRUE,1e-4,-1e-5,Reverse causality,Strong,0,1.165179235971939,1.3872710062956648,0.79,4.297864230502018,1,0.4173908055634589,0,4.865440357086609,1,1,0,0,1,1.1656871976897798
4,TRUE,1e-4,-1e-5,None,None,0.96,0.026878101148637496,0.9417827853092843,0.02,2.460830320469824,1,0.3117741586602165,0,1.0512741940071655,0.05,0,0,0,0,0.03137308324076553
4,FALSE,1e-4,-1e-5,Temporary,Weak,0.98,-0.015453841788986494,1.1664065383994087,0.11,2.930275135699179,1,0.21329040858742154,0,0.7436703510209871,0,0,0.25,0.02,0.02,-0.01133270080097538
4,FALSE,1e-4,-1e-5,Temporary,Strong,0.97,-0.017173843294131606,1.0339420718040047,0,2.926310777032773,1,0.02040415892626589,0,0.19916258732531467,0,0,1,1,1,-0.013012400822356775
4,FALSE,1e-4,-1e-5,Permanent,Weak,0.47,0.2662544591588526,0.8642594276232721,0.17,2.9695180307309816,1,6.124888404434062e-8,0,0.0011704490876075946,0,0,1,1,1,0.2721736179616463
4,FALSE,1e-4,-1e-5,Permanent,Strong,0.85,0.13561988881402184,0.8740611901636319,0.24,2.895545849567385,0.92,3.810370731364503e-7,0,0.0036256703752477228,0,0,0.88,0.75,0.75,0.17091537336810575
4,FALSE,1e-4,-1e-5,Permanent when exposed,Weak,0,4.204256253238742,0.05380061806406691,1,0.28063841140326756,0.97,5.422206687076575e-8,0,7.426728681916109e-4,0,0,0.9,0.83,0.88,4.174962564864078
4,FALSE,1e-4,-1e-5,Permanent when exposed,Strong,0,2.8818046199998952,0.05543752489365827,1,2.718821420289365,0.77,5.854814257844974e-8,0,0.002086980949023644,0.16666666666666666,0,0.01,0,0.94,2.8736471643216404
4,FALSE,1e-4,-1e-5,Reverse causality,Weak,0,1.2031799134629442,1.0767797437455473,0.01,4.052166250202108,1,0.20685722828468692,0,2.051364344409633,0.97,0.85,0,0,0.85,1.2039370467081032
4,FALSE,1e-4,-1e-5,Reverse causality,Strong,0,1.8739535241908283,1.3328244775882876,0.65,5.484816908627056,1,0.23404718326339427,0,4.678002691222711,1,1,0,0,1,1.8707191847660904
4,FALSE,1e-4,-1e-5,None,None,0.98,-0.014913233135363522,1.2309248184155188,0.3,2.9309111163026147,1,0.27590029432217117,0,1.003183965893725,0.01,0,0.01,0,0,-0.010745561749530582
