trueRr,uniformAttributableRisk,baselineRate,usageRateSlope,censorType,censorStrength,coverage,crudeBias,meanDiagnosticRatio,fractionFailingDiagnostic,meanDiagnostic2Ratio,fractionFailingDiagnostic2,meanPreExposureRatio,fractionFailingPreExposure,meanPreExposureRr,fractionFailingPreExposureLb,fractionFailingPreExposureLb125,fractionFailingPreExposureUb,fractionFailingPreExposureUb125,fractionFailingPreExposure125,bias
1,TRUE,1e-4,-1e-5,None,None,0.96,0.06544210408851486,0.8690089560372308,0.14,0.9136329874649812,0.22,0.9816793108614893,0.07,1.0565716783187389,0.08,0.01,0.02,0,0.01,0.08295622501223496
2,TRUE,1e-4,0,Temporary,Weak,0.87,-0.04825195851351819,0.9319793492355879,0,1.5669981754638427,0.94,0.39691032044168895,0,0.7045386475091296,0,0,0.9,0.17,0.17,-0.04695386867617174
2,TRUE,1e-4,0,Temporary,Strong,0.6,-0.14426205588008525,0.7567919553210432,0.66,1.5618551577871715,0.94,0.03325428942011286,0,0.18696184207003555,0,0,1,1,1,-0.1429736019166871
2,TRUE,1e-4,0,Permanent,Weak,0,0.7876198139414736,0.5361472015242207,1,1.5742297839657697,0.91,1.2214440069662973e-7,0,0.003582009288961563,0,0,1,1,1,0.7897371075986127
2,TRUE,1e-4,0,Permanent,Strong,0.14,0.4895823872109625,0.5346804868746502,1,1.520582871024869,0.62,3.2138256920946276e-6,0,0.020756993523874345,0,0,1,0.99,0.99,0.5058733120480304
2,TRUE,1e-4,0,Permanent when exposed,Weak,0,2.904498071648415,0.05143684563132053,1,0.15741026530344032,1,3.579992285403327e-6,0,0.04579745068449241,0,0,1,1,1,2.894226259830452
2,TRUE,1e-4,0,Permanent when exposed,Strong,0,1.644129693077105,0.05727146396815639,1,0.20193025210969542,0.98,3.6293356202049866e-7,0,0.004623959704816211,0,0,0.9,0.75,0.75,1.651538912865238
2,TRUE,1e-4,0,Reverse causality,Weak,0,0.49558858881394674,1.1867203260885375,0.01,1.9762424053228334,1,0.6050492605568573,0,1.8548248608731666,1,0.99,0,0,0.99,0.4952812996329823
2,TRUE,1e-4,0,Reverse causality,Strong,0,1.2107617740097831,1.4258886258497725,0.99,2.7783800827614495,1,0.6186537244178977,0,3.69138479012677,1,1,0,0,1,1.2089169188606494
2,TRUE,1e-4,0,None,None,0.9,-0.0028639068436972248,1.008907687214626,0,1.5692982992025604,0.94,0.5174764418948484,0,0.9876541021913628,0,0,0.03,0,0,-0.0017155948510317555
2,FALSE,1e-4,0,Temporary,Weak,0.58,-0.14361874035783095,1.1058396881321175,0.02,1.7795673589133898,1,0.37180609076627436,0,0.6598301042028117,0,0,0.97,0.33,0.33,-0.1424467490635739
2,FALSE,1e-4,0,Temporary,Strong,0.2,-0.234865221980046,0.916537490664132,0,1.7740031650647672,1,0.03593521802625345,0,0.1746362251083542,0,0,1,1,1,-0.23362969513067613
