trueRr,baselineRate,usageRateSlope,seasonality,calendarTime,coverageUnadj,crudeBiasUnadj,coverageAdj,crudeBbiasAdj,meanDiagnosticRatioUnadj,fractionFailingDiagnosticUnadj,fractionFailingDiagnosticUnadj110,meanDiagnosticRatioAdj,fractionFailingDiagnosticAdj,fractionFailingDiagnosticAdj110,biasUnadj,biasAdj
4,1e-4,0,FALSE,TRUE,0.93,-0.028438969019211762,0.93,-0.027706364880307255,1.1475924900499423,0.03,0.2,1.0392817226137343,0,0,-0.025916663278268765,-0.025219630541642585
4,1e-4,0,FALSE,FALSE,0.97,-0.011117844200699674,0.98,-0.01063859106460676,1.0635387436559194,0,0,1.0332070400199702,0,0,-0.009792077623019993,-0.0091764345026090835
4,1e-4,1e-5,TRUE,TRUE,0.75,-0.07749030376437122,0.95,-0.03342057363478552,2.087153443970057,0.95,0.97,1.0359753932080673,0,0,-0.06919635053203535,-0.03514564594933203
4,1e-4,1e-5,TRUE,FALSE,0.82,-0.07676156653860712,0.93,-0.02263823208207794,2.067991209312467,0.94,0.99,1.0504565993656183,0,0,-0.07124104412406189,-0.021879385852724385
4,1e-4,1e-5,FALSE,TRUE,0.75,-0.05717915041104877,0.95,-0.027886817568372153,1.135863012506751,0.03,0.14,1.0363504856084287,0,0,-0.052771774353487,-0.027533737099437565
4,1e-4,1e-5,FALSE,FALSE,0.9,-0.04601851222320755,0.95,-0.024749195762144637,1.0518344611523573,0,0,1.0309183036606306,0,0,-0.04552232374936692,-0.02426625539956384
4,1e-4,-1e-5,TRUE,TRUE,0.68,0.02935579403891743,0.95,-0.010253641442894694,2.075288725563784,0.95,0.99,1.0286733898608742,0,0,0.03335352307527471,5.747740465897929e-5
4,1e-4,-1e-5,TRUE,FALSE,0.89,0.024743436251286194,0.94,-0.04655143963945472,2.041590747048989,0.95,0.97,1.0258519950347955,0,0,0.03404755872161333,-0.0352872720311269
4,1e-4,-1e-5,FALSE,TRUE,0.66,-0.006725921691266188,0.93,-0.04094207415411565,1.1572277318417628,0.02,0.11,1.041199947237762,0,0.01,-2.55942265418468e-4,-0.030250538789722434
4,1e-4,-1e-5,FALSE,FALSE,0.94,0.033512951046753385,0.96,8.40048590043323e-4,1.0622366289802263,0,0,1.0327823291468416,0,0,0.04389503633452164,0.0100770632862285
